#,Pokémon,Pokémon (dt.),,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Average,Ability 1,Ability 2,Ability 3,TIER,POINTS,,,,Momentum,Voltwechsel,Kehrtwende,Rollwende,Teleport,Abgangstirade,Stafette,Trick Room,Tail Wind,Hazards,Tarnsteine,Stachler,Giftspitzen,Klebenetz,Removal,Auflockern,Turbodreher,Seitenwechsel,Recovery,Wunschtraum,Genesung,Ruheort,Synthese,Tagedieb,Mondschein,Morgengrauen,Dschungelheilung,Heilbefehl,Milchgetränk,Sandsammler,Weichei,Prios,Turbotempo,Überrumpler,Tiefschlag,Mogelhieb,Turbofelsen,Tempohieb,Patronenhieb,Wasserdüse,Eissplitter,Schattenstoß,Ruckzuckhieb,Grasrutsche*,Wasser-Shuriken,Vakuumwelle,Gigasauger/Diebeskuss*,Screens,Auroraschleier,Reflektor,Lichtschild,Min Speed Lv 50,Max Speed Lv 50,Min Speed Lv 100,Max Speed Lv 100,Pokemon zusammen,Pokemon klein for Tampermonkey,"""",Schreibweise für Tampermonkey,Nightbot
448,Lucario,Lucario,,,FIGHTING,STEEL,70,110,70,115,70,90,525,"87,5",Steadfast,Inner Focus,Justified,100,11,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,4,ja,,,,,,ja,,,,ja,,,ja,,,,,,85,156,166,306,Lucario,lucario,"""","[""pokemon"",""lucario""],",Lucario # 
249,Lugia,Lugia,,,PSYCHIC,FLYING,106,90,130,90,154,110,680,"113,33",Pressure,,Multiscale,BANNED,BANNED,,,,0,,,,,,,,ja,0,,,,,1,ja,,,2,,ja,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,103,178,202,350,Lugia,lugia,"""","[""pokemon"",""lugia""],",Lugia # 
457,Lumineon,Lumineon,,,WATER,- -,69,69,76,69,86,91,460,"76,67",Swift Swim,Storm Drain,Water Veil,40,2,,,,1,,ja,,,,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,86,157,168,309,Lumineon,lumineon,"""","[""pokemon"",""lumineon""],",Lumineon # 
792,Lunala,Lunala,,,PSYCHIC,GHOST,137,113,89,137,107,97,680,"113,33",Shadow Shield,,,BANNED,BANNED,,,,1,,,,ja,,,ja,ja,0,,,,,1,ja,,,2,,,ja,,,ja,,,,,,,0,,,,,,,,,,,,,,,,,,,,91,163,179,322,Lunala,lunala,"""","[""pokemon"",""lunala""],",Lunala # 
337,Lunatone,Lunastein,,,ROCK,PSYCHIC,90,55,65,95,85,70,460,"76,67",Levitate,,,40,1,,,,1,,,,,,ja,ja,,0,,,,,0,,,,1,,,,,,ja,,,,,,,0,,,,,,,,,,,,,,,,,,,,67,134,130,262,Lunatone,lunatone,"""","[""pokemon"",""lunatone""],",Lunastein # 
746,Wishiwashi,Lusardin,,,WATER,- -,45,20,20,25,25,40,175,"29,17",Schooling,,,40,4,,,,2,,ja,ja,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,40,101,76,196,Wishiwashi,wishiwashi,"""","[""pokemon"",""wishiwashi""],",Lusardin # 
746,Wishiwashi-School,Lusardin-Scharm,,,WATER,- -,45,140,130,140,135,30,620,"103,33",Schooling,,,BANNED,BANNED,,,,2,,ja,ja,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,WishiwashiSchool,wishiwashischool,"""","[""pokemon"",""wishiwashischool""],",Lusardin-Scharm # 
404,Luxio,Luxio,,,ELECTRIC,- -,60,85,49,60,49,60,363,"60,5",Rivalry,Intimidate,Guts,40,1,,,,1,ja,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,58,123,112,240,Luxio,luxio,"""","[""pokemon"",""luxio""],",Luxio # 
405,Luxray,Luxtra,,,ELECTRIC,- -,80,120,79,95,79,70,523,"87,17",Rivalry,Intimidate,Guts,40,3,,,,1,ja,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,67,134,130,262,Luxray,luxray,"""","[""pokemon"",""luxray""],",Luxtra # 
736,Grubbin,Mabula,,,BUG,- -,47,62,45,55,45,46,300,50,Swarm,,,40,1,,,,1,ja,,,,,,,,1,,,,ja,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,107,87,210,Grubbin,grubbin,"""","[""pokemon"",""grubbin""],",Mabula # 
66,Machop,Machollo,,,FIGHTING,- -,70,80,50,35,35,35,305,"50,83",Guts,No Guard,Steadfast,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,2,,,,,,,ja,,,,,,,ja,,,,,,36,95,67,185,Machop,machop,"""","[""pokemon"",""machop""],",Machollo # 
68,Machamp,Machomei,,,FIGHTING,- -,90,130,80,65,85,55,505,"84,17",Guts,No Guard,Steadfast,100,7,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,2,,,,,,,ja,,,,,,,ja,,,,,,54,117,103,229,Machamp,machamp,"""","[""pokemon"",""machamp""],",Machomei # 
467,Magmortar,Magbrant,,,FIRE,- -,75,95,67,125,95,83,540,90,Flame Body,,Vital Spirit,40,5,,,,1,,,,ja,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,ja,,,,,,,,,,,,,,79,148,153,291,Magmortar,magmortar,"""","[""pokemon"",""magmortar""],",Magbrant # 
240,Magby,Magby,,,FIRE,- -,45,75,37,70,55,83,365,"60,83",Flame Body,,Vital Spirit,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,ja,,,,,,,,,,,,,,79,148,153,291,Magby,magby,"""","[""pokemon"",""magby""],",Magby # 
219,Magcargo,Magcargo,,,FIRE,ROCK,60,50,120,90,80,30,430,"71,67",Magma Armor,Flame Body,Weak Armor,40,1,,,,0,,,,,,,,,1,ja,,,,0,,,,1,,ja,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,Magcargo,magcargo,"""","[""pokemon"",""magcargo""],",Magcargo # 
801,Magearna,Magearna,,,STEEL,FAIRY,80,95,115,130,115,65,600,100,Soul-Heart,,,BANNED,BANNED,,,,2,ja,,,,,ja,ja,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,63,128,121,251,Magearna,magearna,"""","[""pokemon"",""magearna""],",Magearna # 
126,Magmar,Magmar,,,FIRE,- -,65,95,57,100,85,93,495,"82,5",Flame Body,,Vital Spirit,40,1,,,,1,,,,ja,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,ja,,,,,,,,,,,,,,88,159,171,313,Magmar,magmar,"""","[""pokemon"",""magmar""],",Magmar # 
262,Mightyena,Magnayen,,,DARK,- -,70,90,70,60,60,70,420,70,Intimidate,Quick Feet,Moxie,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,67,134,130,262,Mightyena,mightyena,"""","[""pokemon"",""mightyena""],",Magnayen # 
81,Magnemite,Magnetilo,,,ELECTRIC,STEEL,25,35,70,95,55,45,325,"54,17",Magnet Pull,Sturdy,Analytic,40,1,,,,2,ja,,,ja,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,Magnemite,magnemite,"""","[""pokemon"",""magnemite""],",Magnetilo # 
82,Magneton,Magneton,,,ELECTRIC,STEEL,50,60,95,120,70,70,465,"77,5",Magnet Pull,Sturdy,Analytic,60,9,,,,2,ja,,,ja,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,67,134,130,262,Magneton,magneton,"""","[""pokemon"",""magneton""],",Magneton # 
462,Magnezone,Magnezone,,,ELECTRIC,STEEL,70,70,115,130,90,60,535,"89,17",Magnet Pull,Sturdy,Analytic,120,11,,,,2,ja,,,ja,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,58,123,112,240,Magnezone,magnezone,"""","[""pokemon"",""magnezone""],",Magnezone # 
672,Skiddo,Mähikel,,,GRASS,- -,66,65,48,62,57,52,350,"58,33",Sap Sipper,,Grass Pelt,40,1,,,,0,,,,,,,,,0,,,,,0,,,,2,,,,ja,,,,,,ja,,,0,,,,,,,,,,,,,,,,,,,,51,114,98,223,Skiddo,skiddo,"""","[""pokemon"",""skiddo""],",Mähikel # 
562,Yamask,Makabaja,,,GHOST,- -,38,30,85,55,65,30,303,"50,5",Mummy,,,40,1,,,,0,,,,,,,ja,,1,,,ja,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,Yamask,yamask,"""","[""pokemon"",""yamask""],",Makabaja # 
296,Makuhita,Makuhita,,,FIGHTING,- -,72,60,30,20,30,25,237,"39,5",Thick Fat,Guts,Sheer Force,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,3,,,,ja,,,ja,,,,,,,ja,,,,,,27,84,49,163,Makuhita,makuhita,"""","[""pokemon"",""makuhita""],",Makuhita # 
594,Alomomola,Mamolida,,,WATER,- -,165,75,80,40,45,65,470,"78,33",Healer,Hydration,Regenerator,100,10,,,,0,,,,,,,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,1,,,,,,,,ja,,,,,,,,,,,,63,128,121,251,Alomomola,alomomola,"""","[""pokemon"",""alomomola""],",Mamolida # 
446,Munchlax,Mampfaxo,,,NORMAL,- -,135,85,40,40,85,5,390,65,Pickup,Thick Fat,Gluttony,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9,62,13,119,Munchlax,munchlax,"""","[""pokemon"",""munchlax""],",Mampfaxo # 
473,Mamoswine,Mamutel,,,ICE,GROUND,110,130,80,70,60,80,530,"88,33",Oblivious,Snow Cloak,Thick Fat,120,13,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,,,,,76,145,148,284,Mamoswine,mamoswine,"""","[""pokemon"",""mamoswine""],",Mamutel # 
490,Manaphy,Manaphy,,,WATER,- -,100,100,100,100,100,100,600,100,Hydration,,,180,16,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,94,167,184,328,Manaphy,manaphy,"""","[""pokemon"",""manaphy""],",Manaphy # 
734,Yungoos,Mangunior,,,NORMAL,- -,48,70,30,30,30,45,253,"42,17",Stakeout,Strong Jaw,Adaptability,40,1,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,Yungoos,yungoos,"""","[""pokemon"",""yungoos""],",Mangunior # 
735,Gumshoos,Manguspektor,,,NORMAL,- -,88,110,60,55,60,45,418,"69,67",Stakeout,Strong Jaw,Adaptability,40,2,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,Gumshoos,gumshoos,"""","[""pokemon"",""gumshoos""],",Manguspektor # 
226,Mantine,Mantax,,,WATER,FLYING,85,40,70,80,140,70,485,"80,83",Swift Swim,Water Absorb,Water Veil,100,9,,,,0,,,,,,,,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,67,134,130,262,Mantine,mantine,"""","[""pokemon"",""mantine""],",Mantax # 
754,Lurantis,Mantidea,,,GRASS,- -,70,105,90,80,90,45,480,80,Leaf Guard,,Contrary,40,5,,,,0,,,,,,,,,0,,,,,1,ja,,,1,,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,Lurantis,lurantis,"""","[""pokemon"",""lurantis""],",Mantidea # 
458,Mantyke,Mantirps,,,WATER,FLYING,45,20,50,60,120,50,345,"57,5",Swift Swim,Water Absorb,Water Veil,40,2,,,,0,,,,,,,,ja,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,49,112,94,218,Mantyke,mantyke,"""","[""pokemon"",""mantyke""],",Mantirps # 
556,Maractus,Maracamba,,,GRASS,- -,75,86,67,106,67,60,461,"76,83",Water Absorb,Chlorophyll,Storm Drain,40,1,,,,0,,,,,,,,,1,,ja,,,0,,,,1,,,,ja,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,58,123,112,240,Maractus,maractus,"""","[""pokemon"",""maractus""],",Maracamba # 
729,Brionne,Marikeck,,,WATER,- -,60,69,69,91,81,50,420,70,Torrent,,Liquid Voice,40,1,,,,1,,,ja,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,ja,,,,,,,,,,,,49,112,94,218,Brionne,brionne,"""","[""pokemon"",""brionne""],",Marikeck # 
183,Marill,Marill,,,WATER,FAIRY,70,20,50,20,50,40,250,"41,67",Thick Fat,Huge Power,Sap Sipper,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,ja,,,,,,,,,,,,40,101,76,196,Marill,marill,"""","[""pokemon"",""marill""],",Marill # 
826,Orbeetle,Maritellit,,,BUG,PSYCHIC,60,45,110,80,120,90,505,"84,17",Swarm,Frisk,Telepathy,,,,,,2,,ja,,,,ja,ja,,1,,,,ja,0,,,,1,,ja,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,85,156,166,306,Orbeetle,orbeetle,"""","[""pokemon"",""orbeetle""],",Maritellit # 
802,Marshadow,Marshadow,,,FIGHTING,GHOST,90,125,80,90,90,125,600,100,Technician,,,BANNED,BANNED,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,2,,,ja,,,,,,,ja,,,,,,,,,,117,194,229,383,Marshadow,marshadow,"""","[""pokemon"",""marshadow""],",Marshadow # 
67,Machoke,Maschock,,,FIGHTING,- -,80,100,70,50,60,45,405,"67,5",Guts,No Guard,Steadfast,40,2,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,2,,,,,,,ja,,,,,,,ja,,,,,,45,106,85,207,Machoke,machoke,"""","[""pokemon"",""machoke""],",Maschock # 
284,Masquerain,Maskeregen,,,BUG,FLYING,70,60,62,100,82,80,454,"75,67",Intimidate,,Unnerve,40,6,,,,2,,ja,,,,ja,,ja,1,,,,ja,1,ja,,,1,,,ja,,,,,,,,,,2,,,,,,,,ja,,,ja,,,,,,,,,76,145,148,284,Masquerain,masquerain,"""","[""pokemon"",""masquerain""],",Maskeregen # 
794,Buzzwole,Masskito,,,BUG,FIGHTING,107,139,139,53,53,79,570,95,Beast Boost,,,120,13,,,,0,,,,,,,,,0,,,,,0,,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,75,144,146,282,Buzzwole,buzzwole,"""","[""pokemon"",""buzzwole""],",Masskito # 
542,Leavanny,Matrifol,,,BUG,GRASS,75,103,80,70,80,92,500,"83,33",Swarm,Chlorophyll,Overcoat,40,4,,,,1,,,,,,ja,,,1,,,,ja,0,,,,1,,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,158,170,311,Leavanny,leavanny,"""","[""pokemon"",""leavanny""],",Matrifol # 
52,Meowth,Mauzi,,,NORMAL,- -,40,45,35,40,40,90,290,"48,33",Pickup,Technician,Unnerve,40,1,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,85,156,166,306,Meowth,meowth,"""","[""pokemon"",""meowth""],",Mauzi # 
863,Perrserker,Mauzinger,,,STEEL,- -,70,110,100,50,60,50,440,"73,33",Battle Armor,Tough Claws,Steely Spirit,,,,,,2,,ja,,,,ja,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,49,112,94,218,Perrserker,perrserker,"""","[""pokemon"",""perrserker""],",Mauzinger # 
612,Haxorus,Maxax,,,DRAGON,- -,76,147,90,60,70,97,540,90,Rivalry,Mold Breaker,Unnerve,100,12,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,ja,,,,,,,,,,,,,,,,,,91,163,179,322,Haxorus,haxorus,"""","[""pokemon"",""haxorus""],",Maxax # 
536,Palpitoad,Mebrana,,,WATER,GROUND,75,65,55,65,55,69,384,64,Swift Swim,Hydration,Water Absorb,40,1,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,66,133,128,260,Palpitoad,palpitoad,"""","[""pokemon"",""palpitoad""],",Mebrana # 
783,Hakamo-o,Mediras,,,DRAGON,FIGHTING,55,75,90,65,70,65,420,70,Bulletproof,Soundproof,Overcoat,40,2,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,63,128,121,251,Hakamoo,hakamoo,"""","[""pokemon"",""hakamoo""],",Mediras # 
308,Medicham,Meditalis,,,PSYCHIC,FIGHTING,60,60,75,60,75,80,410,"68,33",Pure Power,,Telepathy,60,7,,,,1,,,,,,ja,,,0,,,,,0,,,,1,,ja,,,,,,,,,,,3,,,,ja,,,ja,,,,,,,ja,,,,,,76,145,148,284,Medicham,medicham,"""","[""pokemon"",""medicham""],",Meditalis # 
307,Meditite,Meditie,,,PSYCHIC,FIGHTING,30,40,55,40,55,60,280,"46,67",Pure Power,,Telepathy,40,1,,,,1,,,,,,ja,,,0,,,,,0,,,,1,,ja,,,,,,,,,,,3,,,,ja,,,ja,,,,,,,ja,,,,,,58,123,112,240,Meditite,meditite,"""","[""pokemon"",""meditite""],",Meditie # 
359,Mega Absol,Mega-Absol,,,DARK,- -,65,150,60,115,60,115,565,"94,17",Magic Bounce,,,-40,12,,,,1,,,,,,ja,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,2,,,ja,,,,,,,,ja,,,,,,,,,108,183,211,361,AerodactylMega,aerodactylmega,"""","[""pokemon"",""aerodactylmega""],",Mega-Absol # 
142,Mega Aerodactyl,Mega-Aerodactyl,,,ROCK,FLYING,80,135,85,70,95,150,615,"102,5",Tough Claws,,,-40,14,,,,0,,,,,,,,ja,1,ja,,,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,139,222,274,438,AltariaMega,altariamega,"""","[""pokemon"",""altariamega""],",Mega-Aerodactyl # 
334,Mega Altaria,Mega-Altaria,,,DRAGON,FAIRY,75,110,110,110,105,80,590,"98,33",Pixilate,,,0,13,,,,0,,,,,,,,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,76,145,148,284,AmpharosMega,ampharosmega,"""","[""pokemon"",""ampharosmega""],",Mega-Altaria # 
181,Mega Ampharos,Mega-Ampharos,,,ELECTRIC,DRAGON,90,95,105,165,110,45,610,"101,67",Mold Breaker,,,-60,7,,,,1,ja,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,AbsolMega,absolmega,"""","[""pokemon"",""absolmega""],",Mega-Ampharos # 
354,Mega Banette,Mega-Banette,,,GHOST,- -,64,165,75,93,83,75,555,"92,5",Prankster,,,-80,4,,,,0,,,,,,,ja,,0,,,,,0,,,,0,,,,,,,,,,,,,2,,,ja,,,,,,,ja,,,,,,,,,,72,139,139,273,BanetteMega,banettemega,"""","[""pokemon"",""banettemega""],",Mega-Banette # 
15,Mega Beedrill,Mega-Bibor,,,BUG,POISON,65,150,40,15,80,145,495,"82,5",Adaptability,,,-40,13,,,,2,,ja,,,,ja,,ja,1,,,ja,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,135,216,265,427,BeedrillMega,beedrillmega,"""","[""pokemon"",""beedrillmega""],",Mega-Bibor # 
3,Mega Venusaur,Mega-Bisaflor,,,GRASS,POISON,80,100,123,122,120,80,625,"104,17",Thick Fat,,,0,15,,,,0,,,,,,,,,0,,,,,0,,,,1,,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,76,145,148,284,VenusaurMega,venusaurmega,"""","[""pokemon"",""venusaurmega""],",Mega-Bisaflor # 
373,Mega Salamence,Mega-Brutalanda,,,DRAGON,FLYING,95,145,130,120,90,120,700,"116,67",Aerilate,,,BANNED,BANNED,,,,0,,,,,,,,ja,0,,,,,1,ja,,,2,ja,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,112,189,220,372,SalamenceMega,salamencemega,"""","[""pokemon"",""salamencemega""],",Mega-Brutalanda # 
323,Mega Camerupt,Mega-Camerupt,,,FIRE,GROUND,70,120,100,145,105,20,560,"93,33",Sheer Force,,,-80,6,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,22,79,40,152,CameruptMega,cameruptmega,"""","[""pokemon"",""cameruptmega""],",Mega-Camerupt # 
248,Mega Tyranitar,Mega-Despotar,,,ROCK,DARK,100,164,150,95,120,71,700,"116,67",Sand Stream,,,-40,12,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,68,135,132,265,TyranitarMega,tyranitarmega,"""","[""pokemon"",""tyranitarmega""],",Mega-Despotar # 
719,Mega Diancie,Mega-Diancie,,,ROCK,FAIRY,50,160,110,160,110,110,700,"116,67",Magic Bounce,,,0,16,,,,1,,,,,,ja,ja,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,103,178,202,350,DiancieMega,dianciemega,"""","[""pokemon"",""dianciemega""],",Mega-Diancie # 
362,Mega Glalie,Mega-Firnontor,,,ICE,- -,80,120,80,120,80,100,580,"96,67",Refrigerate,,,-60,4,,,,0,,,,,,,,,1,,ja,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,,,,,94,167,184,328,GlalieMega,glaliemega,"""","[""pokemon"",""glaliemega""],",Mega-Firnontor # 
303,Mega Mawile,Mega-Flunkifer,,,STEEL,FAIRY,50,105,125,55,95,50,480,80,Huge Power,,,BANNED,17,,,,1,,,,,,ja,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,49,112,94,218,MawileMega,mawilemega,"""","[""pokemon"",""mawilemega""],",Mega-Flunkifer # 
475,Mega Gallade,Mega-Galagladi,,,PSYCHIC,FIGHTING,68,165,95,65,115,110,618,103,Inner Focus,,,0,16,,,,1,,,,ja,,,ja,,0,,,,,0,,,,1,ja,,,,,,,,,,,,2,,,,,,,,,,ja,,,,ja,,,,,,103,178,202,350,GalladeMega,gallademega,"""","[""pokemon"",""gallademega""],",Mega-Galagladi # 
130,Mega Gyarados,Mega-Garados,,,WATER,DARK,95,155,109,70,130,81,640,"106,67",Mold Breaker,,,0,14,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,77,146,150,287,GyaradosMega,gyaradosmega,"""","[""pokemon"",""gyaradosmega""],",Mega-Garados # 
94,Mega Gengar,Mega-Gengar,,,GHOST,POISON,60,65,80,170,95,130,600,100,Shadow Tag,,,BANNED,BANNED,,,,0,,,,,,,ja,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,121,200,238,394,GengarMega,gengarmega,"""","[""pokemon"",""gengarmega""],",Mega-Gengar # 
254,Mega Sceptile,Mega-Gewaldro,,,GRASS,DRAGON,70,110,75,145,85,145,630,105,Lightning Rod,,,-40,11,,,,0,,,,,,,,,0,,,,,0,,,,1,,,,ja,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,135,216,265,427,SceptileMega,sceptilemega,"""","[""pokemon"",""sceptilemega""],",Mega-Gewaldro # 
6,Mega Charizard X,Mega-Glurak X,,,FIRE,DRAGON,78,130,111,130,85,100,634,"105,67",Tough Claws,,,0,16,,,,0,,,,,,,,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,94,167,184,328,CharizardMegaX,charizardmegax,"""","[""pokemon"",""charizardmegax""],",Mega-Glurak X # 
6,Mega Charizard Y,Mega-Glurak Y,,,FIRE,FLYING,78,104,78,159,115,100,634,"105,67",Drought,,,0,14,,,,0,,,,,,,,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,94,167,184,328,CharizardMegaY,charizardmegay,"""","[""pokemon"",""charizardmegay""],",Mega-Glurak Y # 
282,Mega Gardevoir,Mega-Guardevoir,,,PSYCHIC,FAIRY,68,85,65,165,135,100,618,103,Pixilate,,,0,15,,,,1,,,,ja,,,ja,,0,,,,,0,,,,1,ja,,,,,,,,,,,,1,,,,,,,,,,ja,,,,,,,,,,94,167,184,328,GardevoirMega,gardevoirmega,"""","[""pokemon"",""gardevoirmega""],",Mega-Guardevoir # 
229,Mega Houndoom,Mega-Hundemon,,,DARK,FIRE,75,90,90,140,90,115,600,100,Solar Power,,,-40,11,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,108,183,211,361,HoundoomMega,houndoommega,"""","[""pokemon"",""houndoommega""],",Mega-Hundemon # 
115,Mega Kangaskhan,Mega-Kangama,,,NORMAL,- -,105,125,100,60,100,100,590,"98,33",Parental Bond,,,BANNED,17,,,,0,,,,,,,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,2,,,ja,ja,,,,,,,,,,,,,,,,94,167,184,328,KangaskhanMega,kangaskhanmega,"""","[""pokemon"",""kangaskhanmega""],",Mega-Kangama # 
445,Mega Garchomp,Mega-Knakrack,,,DRAGON,GROUND,108,170,115,120,95,92,700,"116,67",Sand Force,,,-40,13,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,158,170,311,GarchompMega,garchompmega,"""","[""pokemon"",""garchompmega""],",Mega-Knakrack # 
80,Mega Slowbro,Mega-Lahmus,,,WATER,PSYCHIC,95,75,180,130,80,30,590,"98,33",Shell Armor,,,0,14,,,,1,,,,ja,,,ja,,0,,,,,0,,,,1,,,,,ja,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,SlowbroMega,slowbromega,"""","[""pokemon"",""slowbromega""],",Mega-Lahmus # 
380,Mega Latias,Mega-Latias,,,DRAGON,PSYCHIC,80,100,120,140,150,110,700,"116,67",Levitate,,,BANNED,BANNED,,,,1,,,,,,ja,,ja,0,,,,,1,ja,,,3,ja,ja,ja,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,103,178,202,350,LatiasMega,latiasmega,"""","[""pokemon"",""latiasmega""],",Mega-Latias # 
381,Mega Latios,Mega-Latios,,,DRAGON,PSYCHIC,80,130,100,160,120,110,700,"116,67",Levitate,,,BANNED,17,,,,1,,,,,,ja,,ja,0,,,,,1,ja,,,2,,ja,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,103,178,202,350,LatiosMega,latiosmega,"""","[""pokemon"",""latiosmega""],",Mega-Latios # 
257,Mega Blaziken,Mega-Lohgock,,,FIRE,FIGHTING,80,160,80,130,80,100,630,105,Speed Boost,,,BANNED,BANNED,,,,2,,ja,,,,ja,,,0,,,,,1,ja,,,0,,,,,,,,,,,,,2,,,,,,,,,,,ja,,,ja,,,,,,94,167,184,328,BlazikenMega,blazikenmega,"""","[""pokemon"",""blazikenmega""],",Mega-Lohgock # 
